,Close,Portfolio,BuyHold,Signal,RSI,MACD_hist
2024-07-26,396.51305419726253,10000.0,9177.831767415382,-1,31.844349318673935,0.013929665855155093
2024-07-29,400.375137128956,10000.0,9267.22490855836,-1,37.23619683818126,0.34614776258156077
2024-07-30,406.2894763604559,10000.0,9404.120301805935,-1,44.47982102271821,0.9939839332500995
2024-07-31,411.80500284700844,10000.0,9531.784633828454,-1,50.24661836292005,1.7779659674328805
2024-08-01,408.6462071593618,10000.0,9458.670028642126,0,47.221496832145974,2.0485566371376223
2024-08-02,408.11065648136423,10000.0,9446.273982727476,0,46.7080547173103,2.1459190287759267
2024-08-05,410.71242769442006,10000.0,9506.495501887981,0,49.57644607632084,2.324926964447859
2024-08-06,416.50615961071736,10000.0,9640.599275447044,0,55.340930586627636,2.744129349840799
2024-08-07,415.1108261347111,9985.933780912517,9608.302391985906,1,53.74729885510026,2.826861896999966
2024-08-08,415.18226350324744,9987.505403020317,9609.9559066518,1,53.82061873396657,2.781527589803006
2024-08-09,410.66673303124765,9888.163732636322,9505.437837009547,1,48.578610062290686,2.359230723045335
2024-08-12,405.75742599442407,9780.158977826204,9391.805275353356,0,43.60592810241149,1.6922914620270424
2024-08-13,410.6875044517947,9888.620703888359,9505.918619675675,0,49.22673902238062,1.53104666700799
2024-08-14,418.3570444557356,10057.350583975058,9683.440512446987,1,56.49176480347197,1.866550555914118
2024-08-15,418.9995900628064,10071.486587330615,9698.313100933452,0,57.04629103839304,2.043118615683683
2024-08-16,425.05094755293277,10204.616452113394,9838.379967385821,0,61.96315960245923,2.4513338451913578
2024-08-19,427.91563464844904,10267.639568214752,9904.68703079931,0,64.06050046830593,2.7743887704369636
2024-08-20,425.6299502210121,10217.354510811141,9851.781768472232,0,61.16265848616861,2.6921237221991587
2024-08-21,428.49731162453423,10280.436461688627,9918.15073236721,0,63.39943702560166,2.6828438886535557
2024-08-22,437.43423957936386,10477.048876694878,10125.008036102117,1,69.32864817026692,3.1010270517116547
2024-08-23,438.2960233202519,10496.008118994416,10144.95518818208,0,69.83609602725684,3.242809180635471
2024-08-26,447.57725888329895,10700.195301381451,10359.781957918194,0,74.6923604692336,3.7338347704997616
2024-08-27,434.58098431268166,10414.27726082787,10058.965577852876,1,60.10104174820909,2.987810205785541
2024-08-28,439.91017706735744,10531.519501430737,10182.316963238061,1,63.26966418142459,2.6682130994912354
2024-08-29,441.4254761867413,10564.856082057184,10217.390614024092,1,64.14167242735586,2.383171092051846
2024-08-30,440.90102378483675,10553.318129215282,10205.251452743662,1,63.57906916099386,1.9991260183288482
2024-09-02,442.44467528573387,10587.27846223502,10240.981357806771,1,64.56428422476213,1.7005851650679995
2024-09-03,432.9538711100763,10378.480770370554,10021.3038386441,1,54.75682144097545,0.7632175451825853
2024-09-04,432.85166687018074,10376.23227709285,10018.938183062906,1,54.66052976450146,0.0720030309194275
2024-09-05,435.7454321327391,10439.895112869135,10085.91830004271,0,56.96792441677535,-0.23766121345886848
2024-09-06,444.51904811992523,10632.91466458723,10288.995527059404,1,63.099567935914585,0.08383598567751971
2024-09-09,442.8213220262621,10595.56469052664,10249.699356832838,1,61.27996431313208,0.1156318677471031
2024-09-10,439.58787472612994,10509.927285524393,10174.856838950303,-1,57.8578423182687,-0.13408790404049142
2024-09-11,437.99608987645433,10509.927285524393,10138.012822326891,0,56.194156168431675,-0.4420928349000466
2024-09-12,443.85859107077545,10509.927285524393,10273.708353982662,0,60.67871874888628,-0.29376090711161496
2024-09-13,446.67487974150333,10509.927285524393,10338.895170292524,0,62.656516043533905,-0.06091430801702469
2024-09-16,444.9073325491692,10509.927285524393,10297.982896155541,0,60.596456010973824,-0.0796926138288816
2024-09-17,448.7153874818971,10495.006985340846,10386.125486074576,1,63.389251365218804,0.10080339215403455
2024-09-18,450.31502669391165,10530.199048005166,10423.151302554068,0,64.52664200776086,0.2555730939405745
2024-09-19,456.630127495202,10669.131265633552,10569.32286521762,1,68.66538394714414,0.6864520028169672
2024-09-20,453.8790966760031,10608.608587611177,10505.646530281569,0,65.10201859472178,0.6876595263237073
2024-09-23,453.1837785186729,10593.311588149912,10489.55244963213,1,64.19524645343131,0.549117513622269
2024-09-24,452.1390549340248,10570.327669287655,10465.37090705275,1,62.78033311204152,0.30669601227441845
2024-09-25,445.28364147950316,10404.81911123941,10306.693076107053,-1,54.3197268338583,-0.35965067930824013
2024-09-26,447.9346124025008,10404.81911123941,10368.053389201506,-1,56.74716641365814,-0.6492795137018748
2024-09-27,450.4128837781812,10404.81911123941,10425.416337329514,0,58.943653318529705,-0.6971475136639285
2024-09-30,451.5215127002777,10404.81911123941,10451.077055512153,-1,59.92408982895005,-0.6767936280850284
2024-10-01,451.33411068289956,10404.81911123941,10446.739381959758,0,59.664714014532315,-0.6959136878547323
2024-10-02,443.8489831853737,10404.81911123941,10273.48596645992,-1,50.29979783156119,-1.2029106099661977
2024-10-03,441.78608679315477,10404.81911123941,10225.737435003062,0,48.06086624626096,-1.6403458827942483
2024-10-04,440.1459231661492,10404.81911123941,10187.773626043061,0,46.29638867371326,-1.9805336840854686
2024-10-07,436.08455270385446,10404.81911123941,10093.76770504368,-1,42.16802522632493,-2.3919371744973974
2024-10-08,435.41497603578324,10404.81911123941,10078.269446033306,-1,41.51081478294616,-2.604502763635171
2024-10-09,437.7002995558432,10404.81911123941,10131.166354670248,-1,44.6799158231953,-2.486786553497976
2024-10-10,447.7823892833998,10404.81911123941,10364.529978904087,-1,56.00520635186943,-1.664987694173599
2024-10-11,448.89957668086174,10404.81911123941,10390.388794592613,0,57.05437569786214,-1.0132878041631632
2024-10-14,450.4665076479673,10404.81911123941,10426.657534436155,0,58.54752519084765,-0.47135476606700344
2024-10-15,450.24426955082043,10404.81911123941,10421.513532627554,-1,58.23824933896512,-0.13973676657059997
2024-10-16,440.05737832743125,10404.81911123941,10185.724135805543,0,46.192874916728066,-0.5929265172087583
2024-10-17,440.0933897605284,10404.81911123941,10186.557669206702,-1,46.23520931308359,-0.8605084413477972
2024-10-18,440.5875101235398,10404.81911123941,10197.994754358295,-1,46.853095642980804,-0.9665311745549334
2024-10-21,453.78702963764533,10404.81911123941,10503.515513962111,0,60.05834799809889,-0.15270203818869543
2024-10-22,452.9210535195853,10390.17886202178,10483.471323633386,1,59.022212170809496,0.29773112856778194
2024-10-23,454.7411476207024,10428.400838145239,10525.599867155708,0,60.56223860097892,0.667522427587135
2024-10-24,454.73362563985023,10428.242876547341,10525.42576071939,1,60.55211040692464,0.8492282879104587
2024-10-25,448.53827267507745,10298.140464287113,10382.02592394591,1,52.73027545075179,0.5066920370850159
2024-10-28,454.8688852385023,10431.083328119035,10528.556527356746,1,58.61334585861683,0.6517503069559427
2024-10-29,459.1552040768246,10521.096023723803,10627.769183240845,0,62.05668403602414,0.9628716614413486
2024-10-30,462.31987776713487,10587.55417122032,10701.019842761334,0,64.41099768452241,1.2879932924168833
2024-10-31,456.0727113216163,10456.36367586443,10556.420712787954,1,56.904849390195544,1.0012693653907587
2024-11-01,462.5642367299621,10592.685709439691,10706.675861971671,0,61.876476163947316,1.156754496857892
2024-11-04,453.580215712029,10404.021268063096,10498.728525497614,1,52.79829768198054,0.5910072149443684
2024-11-05,455.5951483575544,10446.33485361913,10545.366871064176,1,54.413704468683896,0.3034433385379307
2024-11-06,466.38613244156323,10672.945519383315,10795.138815466842,1,61.92838819708113,0.7646894965720543
2024-11-07,459.62985962856817,10531.063790310418,10638.75572896805,1,55.73362761702824,0.5495281679364501
2024-11-08,455.3113738419503,10440.375588791443,10538.798525491375,1,52.14323671060334,0.07600823028688408
2024-11-11,454.67203306928053,10426.949432565378,10524.000117238484,0,51.613121652252204,-0.30000197916371363
2024-11-12,450.7428901922056,10330.243763906099,10433.054782818317,-1,48.35924019420262,-0.8044476230804807
2024-11-13,441.18355247809654,10330.243763906099,10211.790962070678,0,41.50368102392236,-1.7204226173836585
2024-11-14,440.3994615231742,10330.243763906099,10193.642114766777,0,40.99038402561385,-2.282382374336769
2024-11-15,433.6403671212254,10330.243763906099,10037.193718769444,-1,36.7688620999378,-2.9691021300618723
2024-11-18,434.9773277125479,10330.243763906099,10068.13948274098,0,38.12626316390758,-3.1745815515168165
2024-11-19,429.04724230320113,10330.243763906099,9930.879622876915,-1,34.580309252981806,-3.524187668924907
2024-11-20,435.9116604598963,10330.243763906099,10089.765879852448,-1,41.377095942864344,-3.121255012928291
2024-11-21,430.68113922402495,10330.243763906099,9968.698380433278,-1,38.126603276379626,-3.0325248330126016
2024-11-22,427.89689841364634,10330.243763906099,9904.253355264158,-1,36.48361828567971,-2.982354421332877
2024-11-25,430.9615844071938,10330.243763906099,9975.189664096853,-1,39.57048894534214,-2.5789203077779614
2024-11-26,423.47562145572726,10330.243763906099,9801.91691088383,-1,35.08508473958601,-2.642655919006414
2024-11-27,423.5304696858955,10330.243763906099,9803.18644747007,-1,35.143092491482406,-2.508603236792986
2024-11-28,429.0726678807252,10330.243763906099,9931.46813231093,-1,40.89087333161678,-1.9017004776498823
2024-11-29,419.6803535039146,10330.243763906099,9714.070292959694,-1,35.19793589623612,-1.9789906389236194
2024-12-02,419.51903102101596,10330.243763906099,9710.336265560916,-1,35.10752574243739,-1.887457132361214
2024-12-03,419.7365908766269,10330.243763906099,9715.371983131887,-1,35.348708227968274,-1.6664252768195809
2024-12-04,422.58319174277784,10330.243763906099,9781.260416266587,-1,38.56601602686589,-1.2042358443804684
2024-12-05,415.21190049107037,10330.243763906099,9610.641894882081,-1,33.86617440595835,-1.2644595555423432
2024-12-06,407.55311795177687,10330.243763906099,9433.368998202404,0,29.802392219656454,-1.6644297410755584
2024-12-09,409.0461067945718,10330.243763906099,9467.926247414642,-1,31.527289775533404,-1.6685410952589956
2024-12-10,409.4403520092702,10330.243763906099,9477.051586964775,-1,32.002437757927325,-1.4906365878448415
2024-12-11,410.83487071993096,10330.243763906099,9509.329611578285,-1,33.75356019783247,-1.1407415328669188
2024-12-12,412.707200732537,10330.243763906099,9552.66722603229,-1,36.13177328646404,-0.6682954299052248
2024-12-13,409.50447042157106,10330.243763906099,9478.535694474129,-1,33.89052886292987,-0.4661584227900981
2024-12-16,410.80957933685215,10330.243763906099,9508.744208256488,-1,35.64243415645409,-0.15530003849834983
2024-12-17,412.41866692223937,10330.243763906099,9545.98872013673,-1,37.82992354313385,0.22716025732916378
2024-12-18,409.0482920745709,10330.243763906099,9467.976828680463,0,35.13601957725611,0.31615463973321667
2024-12-19,418.3702139175611,10330.243763906099,9683.74533748067,-1,46.48666590624972,1.0258171833041185
2024-12-20,420.91641296892476,10330.243763906099,9742.680563679158,-1,49.10636864191093,1.6525519786581686
2024-12-23,415.0675091965138,10330.243763906099,9607.299762772956,0,43.80181421297876,1.6549324444462075
2024-12-24,418.5037050520679,10330.243763906099,9686.835170619772,-1,47.396909976668375,1.8546363650371784
2024-12-25,413.7762118512511,10330.243763906099,9577.410936488222,0,43.29346857391324,1.6423353396539584
2024-12-26,417.84984496490756,10330.243763906099,9671.700693164712,-1,47.510495400163855,1.7408508724621505
2024-12-27,423.8264126996767,10330.243763906099,9810.036449416979,-1,53.029412715409336,2.1464889460492067
2024-12-30,419.8220211493199,10330.243763906099,9717.349382519678,0,49.28995033957144,2.0815074734075134
2024-12-31,424.84330812225585,10330.243763906099,9833.573871488443,0,53.6990085338412,2.2962107639261955
2025-01-01,427.1176520198585,10330.243763906099,9886.216641890298,0,55.58278303282189,2.494422925815671
2025-01-02,431.5018959449374,10330.243763906099,9987.695906559524,0,59.0421676138766,2.80087175493485
2025-01-03,441.4961339220782,10315.573574857248,10219.026083023471,1,65.61631685230026,3.510729637321757
2025-01-06,440.37267752133874,10290.85753404098,10193.022162761914,0,64.36563210681899,3.718717630559443
2025-01-07,436.565728838234,10207.104663012677,10104.905178488965,1,60.1797060813268,3.4215103077918942
2025-01-08,432.0803769463902,10108.42692139211,10001.085632965196,1,55.59240588712072,2.7721440251832545
2025-01-09,428.02326171183347,10019.170386231865,9907.178204976068,1,51.749837583141236,1.9571029686088899
2025-01-10,427.7984551147544,10014.224641096125,9901.97475175717,1,51.53726663982264,1.3210543230690488
2025-01-13,429.72090595023127,10056.518559476615,9946.472480551634,1,53.30374309024454,0.9645593770629941
2025-01-14,431.3195921640856,10091.68965618141,9983.476238597748,1,54.77987239314268,0.7791110005097468
2025-01-15,435.7734841003814,10189.675278779918,10086.567600833794,1,58.697142842621076,0.8910296176615045
2025-01-16,436.0157840507039,10195.005877687014,10092.17596141051,1,58.90570315058889,0.912660348430383
2025-01-17,443.79535596787815,10366.156459864847,10272.24469186601,0,65.01415302639785,1.3554974134679845
2025-01-20,442.5634324280713,10339.054141989096,10243.730152738022,1,63.40684778395285,1.4609421576375308
2025-01-21,457.1866266388534,10660.764414626303,10582.203791747224,0,72.19436896913837,2.3578951354348634
2025-01-22,460.80206221898214,10740.303997389135,10665.88794582262,0,73.86540350311527,2.9960668231230363
2025-01-23,456.24662340815127,10640.084343550856,10560.446143617135,1,68.29607674300867,2.910310639889615
2025-01-24,450.5660290222325,10515.111267060642,10428.961091458046,1,62.016673954693545,2.296867985929315
2025-01-27,453.354883596828,10576.466067701744,10493.512908449904,1,63.777505120377825,1.9201047724240912
2025-01-28,452.3205302099112,10553.710293189575,10469.571398144784,1,62.61805504094328,1.463073689610594
2025-01-29,456.37694340668963,10642.951383518699,10563.462576518534,1,65.28354943809958,1.3012367754553322
2025-01-30,459.15119107134734,10703.984832141168,10627.67629679294,1,67.01579564230906,1.248115015104629
2025-01-31,458.93357776388586,10699.197339377017,10622.639342006481,1,66.73450863446604,1.0721402531581
2025-02-03,454.453686347058,10600.639728206803,10518.946186573876,1,61.0532087905719,0.553936241685804
2025-02-04,446.3743329554636,10408.16851072186,10331.938607800288,-1,52.39067335424872,-0.38257710970877934
2025-02-05,444.16112892204313,10408.16851072186,10280.711002376753,-1,50.28586766070946,-1.156949155708471
2025-02-06,448.90334203714224,10408.16851072186,10390.475948864387,-1,54.50360306757455,-1.3425849159967784
2025-02-07,450.2361921409486,10408.16851072186,10421.326570034178,0,55.64267139646909,-1.3639984047020315
2025-02-10,443.6857664082498,10408.16851072186,10269.708093055235,-1,49.13220729839985,-1.7813414434742656
2025-02-11,444.78529565657595,10408.16851072186,10295.158186961777,0,50.18581502750381,-1.9327053494020596
2025-02-12,447.0198118308103,10408.16851072186,10346.879090754488,-1,52.346027953329504,-1.832586701156882
2025-02-13,442.4573983377519,10393.413719254959,10241.275850080741,1,47.78913789129073,-2.00967938167539
2025-02-14,443.4505830223172,10415.263782315395,10264.264455001627,0,48.833357378145294,-1.9921134990098102
2025-02-17,443.9377155371085,10425.980697640804,10275.539796940226,0,49.36823665247181,-1.8812148703165397
2025-02-18,438.026399147975,10281.481684198376,10138.71437147405,-1,43.434533933639706,-2.121676965821393
2025-02-19,440.73929301572434,10281.481684198376,10201.507975007391,-1,46.606302207442916,-2.0145470540311634
2025-02-20,444.5426149806825,10281.481684198376,10289.54101397598,-1,50.77367601346689,-1.6209889990823922
2025-02-21,451.1647951307364,10281.481684198376,10442.82034414521,-1,57.05823658542063,-0.8849467907739892
2025-02-24,457.72726888446095,10281.481684198376,10594.717688891391,0,62.20738829685411,0.02537995104190016
2025-02-25,451.0297886486921,10266.978463817577,10439.695436234619,1,54.96369168714559,0.15094689797666794
2025-02-26,446.8109008926162,10178.381820939983,10342.043564093205,0,50.93979612641777,-0.06410687494817369
2025-02-27,450.4213220651078,10254.200665562308,10425.611652911177,1,54.04070325629515,0.018412675638620035
2025-02-28,454.0541643442518,10330.490353424331,10509.698708614897,0,56.986720765682406,0.2845085056848844
2025-03-03,457.7231818181434,10407.539720376055,10594.623088205013,0,59.79010609657787,0.6533773721015348
2025-03-04,479.75467006271913,10870.200973512145,11104.571728115145,0,71.71230845857721,2.2376864784756805
2025-03-05,483.9528525990327,10958.36280677473,11201.744349897273,0,73.33475820544392,3.357577830392631
2025-03-06,491.46708578951706,11116.161703774902,11375.671456088043,0,75.98928367842817,4.331644582689195
2025-03-07,498.02719885102186,11253.924078066502,11527.514159414937,0,78.04423389877175,5.092486700472774
2025-03-10,502.8663772517654,11355.546824482117,11639.523498790782,0,79.44196244894074,5.558366310218035
2025-03-11,501.9193637336095,11335.659540600842,11617.603588061238,0,78.3902296780558,5.433017063497971
2025-03-12,507.44430670362385,11451.683342971144,11745.485877349322,1,80.04967067716883,5.344310236725322
2025-03-13,503.7024618240316,11373.104600499708,11658.875808800161,0,75.80399864011977,4.679654811606396
2025-03-14,503.2280631188491,11363.142227690874,11647.895208134541,1,75.25900957159755,3.886703200286602
2025-03-17,501.2532137417845,11321.670390772519,11602.184644114457,0,72.90909251025104,2.9502920193762723
2025-03-18,502.69807095377075,11352.01239222423,11635.627821531132,1,73.55957864473223,2.1845647541299584
2025-03-19,517.6160900451837,11665.2907931439,11980.92558178082,1,79.13121301189412,2.420806199488931
2025-03-20,507.00124251946784,11442.378995103869,11735.23055661951,1,68.13001446257385,1.637712649278905
2025-03-21,512.1397621107931,11550.287906521698,11854.16855334758,0,70.28376271059147,1.2583811378181
2025-03-24,503.20159658732314,11362.586430528829,11647.282604410047,1,62.38614220504405,0.2507957712406501
2025-03-25,501.30795720069096,11322.820003409553,11603.451755627913,0,60.82670070852381,-0.6487540640902658
2025-03-26,508.81123751047045,11480.388889914922,11777.125342557683,1,64.60236819275973,-0.8322653287795205
2025-03-27,510.1704556144982,11508.932470099506,11808.586286811453,1,65.25566458627858,-0.9475603209171091
2025-03-28,504.5417769474577,11390.730218091656,11678.302894292332,0,60.29310544715825,-1.4578462862698114
2025-03-31,501.1695990693323,11304.13290256113,11600.249269253703,-1,57.47315659585334,-2.0416275725459627
2025-04-01,506.2089460839082,11288.078782369817,11716.891782350876,1,60.45008000336936,-2.0994143724435173
2025-04-02,502.73412560671096,11215.107552348676,11636.462355314106,0,57.463073590507676,-2.3630580276014026
2025-04-03,504.99517388252633,11262.589566140798,11688.79738053906,0,58.88666110207598,-2.3704725044481894
2025-04-04,506.23082742349965,11288.538290501237,11717.398255596814,0,59.680809087359556,-2.2769343273189993
2025-04-07,503.2343437981891,11209.765536500685,11648.040582965858,-1,56.814784397768385,-2.389919921265074
2025-04-08,517.1373646145854,11209.765536500685,11969.844833194347,0,65.17190847023092,-1.5424937182786937
2025-04-09,522.0538041583203,11209.765536500685,12083.642486384902,0,67.56244857960579,-0.7075104564397776
2025-04-10,510.3589056902896,11209.765536500685,11812.948219095553,0,57.45929238896814,-0.9825816167339454
2025-04-11,512.4704910516647,11209.765536500685,11861.823722699015,0,58.66129503495742,-1.0556566529477394
2025-04-14,509.37443256980845,11209.765536500685,11790.161255126332,0,56.15587189028586,-1.328227326774055
2025-04-15,515.5527369462761,11209.765536500685,11933.166479228985,-1,59.84181278323338,-1.1166539264934503
2025-04-16,511.6292523170461,11209.765536500685,11842.352112620014,-1,56.588311354732646,-1.2548469217914509
2025-04-17,511.8969176593137,11209.765536500685,11848.547589553991,0,56.76102494850482,-1.3346929627156872
2025-04-18,515.9715389816736,11209.765536500685,11942.860219659577,0,59.40851637127507,-1.127789529453465
2025-04-21,522.3123453847468,11209.765536500685,12089.626773297945,0,63.186090810479186,-0.6048102027992508
2025-04-22,515.7815832626635,11209.765536500685,11938.463437223592,-1,57.27401752330678,-0.7311910182120478
2025-04-23,514.6912133465582,11209.765536500685,11913.225348468799,-1,56.32641735492643,-0.9090934462249756
2025-04-24,512.7357245102204,11209.765536500685,11867.962910390179,-1,54.582261964967856,-1.1631005441889135
2025-04-25,509.6900995379012,11209.765536500685,11797.467794714421,0,51.88737524064529,-1.5184121031139908
2025-04-28,521.4565252965249,11209.765536500685,12069.817658037475,0,60.08640792144701,-0.9698620742088817
2025-04-29,524.9814569642643,11209.765536500685,12151.40697646141,0,62.166447127912804,-0.4072873991089576
2025-04-30,517.2481612021339,11209.765536500685,11972.409370301411,0,55.351273494198644,-0.5829589244900077
2025-05-01,523.1522093188328,11209.765536500685,12109.066561756274,-1,59.04291771321488,-0.3405077661486251
2025-05-02,536.683998638402,11194.017761253945,12422.27815610981,1,65.98475446070213,0.6388656094654328
2025-05-05,543.5479632517114,11324.433088906822,12581.153915209297,1,68.86724220896757,1.6018060841702706
2025-05-06,533.8551770319706,11140.270150731747,12356.801248025617,1,61.00546258059489,1.4437038054214488
2025-05-07,530.9665887024443,11085.386972470747,12289.940958173664,1,58.8493494625574,1.022179150221449
2025-05-08,539.2512252307978,11242.795066509463,12481.70009323,0,62.89936467505031,1.168362826453757
2025-05-09,534.8875862041699,11159.885925003535,12380.697756847412,1,59.57358317684194,0.8528655641665956
2025-05-12,537.9502632702314,11218.076789258703,12451.587566332095,1,61.12715334013928,0.7365208123544358
2025-05-13,543.1660184913043,11317.176138459086,12572.313286336284,0,63.68652915406543,0.8868257179787928
2025-05-14,537.3415592947167,11206.511413723923,12437.498288250845,1,59.01386204026184,0.48980028412332643
2025-05-15,537.1726705467088,11203.302527511772,12433.589129396632,1,58.87896351242583,0.13034046598929194
2025-05-16,516.4940968186787,10795.694451613788,11954.955528668977,-1,45.242438204966376,-1.4959077276799926
2025-05-19,510.3516124221681,10795.694451613788,11812.77940652521,-1,42.1216980990018,-2.899834977320917
2025-05-20,509.00897030741714,10795.694451613788,11781.702135997564,-1,41.44868541618461,-3.7778955484066703
2025-05-21,501.590979904114,10795.694451613788,11610.00269948936,0,37.85037785275349,-4.659427633551385
2025-05-22,511.6172497226231,10795.694451613788,11842.074296313032,-1,44.822818659528274,-4.3730525154222475
2025-05-23,503.04167664043126,10795.694451613788,11643.581040607063,0,40.62478543361966,-4.546827130674026
2025-05-26,500.5865647144743,10795.694451613788,11586.754149315362,-1,39.48462095084228,-4.59894846050973
2025-05-27,501.5721630577892,10795.694451613788,11609.56715809133,-1,40.21008800490529,-4.342027556554591
2025-05-28,510.44762265686404,10795.694451613788,11815.001693465481,-1,46.43725268572502,-3.3914643136378513
2025-05-29,501.85661264753656,10795.694451613788,11616.15112916965,-1,41.889416577423596,-3.1629090390272125
2025-05-30,509.06225233992626,10795.694451613788,11782.935420817366,-1,46.61215286806428,-2.3835614268966197
2025-06-02,509.3283884219538,10795.694451613788,11789.095500951506,-1,46.784179277630884,-1.7372728276988711
2025-06-03,503.53319714379705,10795.694451613788,11654.957948485313,-1,43.497440991420184,-1.5911227119096205
2025-06-04,506.52682370033904,10795.694451613788,11724.249490389355,-1,45.62263601631451,-1.2016028263587382
2025-06-05,507.9393833337262,10795.694451613788,11756.945096598123,-1,46.642448714694716,-0.7781240615033314
2025-06-06,504.4840736016533,10795.694451613788,11676.967272187074,-1,44.44658424914706,-0.6644425341507123
2025-06-09,505.10843571327376,10795.694451613788,11691.418979039454,-1,44.950907041852304,-0.4890257618631746
2025-06-10,502.9749773095203,10795.694451613788,11642.03719424029,-1,43.497800529615404,-0.4589932450152099
2025-06-11,503.86132391026797,10795.694451613788,11662.552886985264,-1,44.303349880179134,-0.32789607805288057
2025-06-12,508.06633289902135,10795.694451613788,11759.883516256423,-1,48.08488912717782,0.07221074562405105
2025-06-13,517.9391804045227,10795.694451613788,11988.403945815242,-1,55.69143375918835,0.981496979842782
2025-06-16,510.45299833723186,10795.694451613788,11815.126120869645,0,49.74023929410281,1.0522109735919751
2025-06-17,523.7229389163269,10780.46317396505,12122.27687141705,1,58.25566829176579,1.915826244013175
2025-06-18,511.66419017922993,10551.346947960206,11843.160796768096,1,49.970231176310165,1.6103601988052785
2025-06-19,510.93689988250975,10537.528432322524,11826.326677642091,1,49.51284258493803,1.3076265373546538
2025-06-20,514.748390278008,10609.946749836989,11914.548786000723,0,51.99284258228643,1.3091493148587487
2025-06-23,516.689970973293,10646.836783047405,11959.489301314306,1,53.25256214271736,1.3789772226400532
2025-06-24,513.0357357998281,10577.406314751572,11874.907078092096,1,50.56332419276259,1.1277021045516396
2025-06-25,511.9596602719677,10556.960879722224,11849.99985231682,1,49.766329772183866,0.8502999518745085
2025-06-26,509.1356850438161,10503.305350387345,11784.635120222958,1,47.64391661030485,0.45757887826213506
2025-06-27,505.73853976662394,10424.350846253474,11706.003590911367,-1,45.14941186306895,-0.024456061596462852
2025-06-30,511.09695346969147,10424.350846253474,11830.03133473062,-1,49.62924789947298,0.021612925400555927
2025-07-01,513.4910265776981,10424.350846253474,11885.445399895916,0,51.5338539847618,0.207045658488217
2025-07-02,509.42678867557805,10424.350846253474,11791.373108117463,-1,48.201768739401096,0.057481977608646595
2025-07-03,515.1299226986672,10409.553978683896,11923.3798707117,1,52.81249786600899,0.32898925455816724
